time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Falz-,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Falz-,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Falz-,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Falz-,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Falz-,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Falz-,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Falz-
20241022 _110737,45587.4636262269,1729591657.30633,00:00:00,25,24.99,25,25,25,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,8.83,7.96,7.67,8.53,8.66,8.75,8.08,0,.,.,.,.,.,.,.,.
20241022 _110738,45587.463637963,1729591658.32062,00:00:00,25,24.99,25,25,24.99,25.01,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.1,8,7.62,8.53,10.34,8.59,8.03,0,.,.,.,.,.,.,.,.
20241022 _110739,45587.4636496991,1729591659.3349,00:00:00,24.99,25.01,25,25,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.29,5.84,7.62,6.78,8.73,10.21,8.22,0,.,.,.,.,.,.,.,.
20241022 _110740,45587.4636613773,1729591660.34321,00:00:00,25,25.01,25,25,25.01,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.26,7.65,5.79,8.43,8.51,8.73,8.33,0,.,.,.,.,.,.,.,.
20241022 _110741,45587.463673125,1729591661.35849,00:00:00,25,25,25,25,25.01,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.09,7.83,7.7,8.42,8.43,8.85,8.31,0,.,.,.,.,.,.,.,.
20241022 _110742,45587.4636848611,1729591662.37278,00:00:00,25,24.99,25,25.01,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.14,7.99,7.67,8.32,8.61,7.07,8.15,0,.,.,.,.,.,.,.,.
20241022 _110743,45587.4636966088,1729591663.38707,00:00:00,24.99,25,25,25.01,25,25.01,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.23,7.91,7.66,8.28,8.63,8.58,8.11,0,.,.,.,.,.,.,.,.
20241022 _110744,45587.4637083449,1729591664.40136,00:00:00,24.99,25.01,25,25,24.99,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.36,7.68,7.75,8.3,10.33,10.2,8.16,0,.,.,.,.,.,.,.,.
20241022 _110745,45587.4637200926,1729591665.41664,00:00:00,25,25,25,25,24.99,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.21,7.74,7.78,8.27,8.79,8.73,8.34,0,.,.,.,.,.,.,.,.
20241022 _110746,45587.4637316782,1729591666.41796,00:00:00,25,24.99,25,25,25,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.1,7.96,7.81,8.31,8.68,8.86,8.31,0,.,.,.,.,.,.,.,.
20241022 _110747,45587.4637434028,1729591667.43026,00:00:00,25,24.99,25,25,25.01,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.17,8.01,7.85,8.37,8.43,8.67,8.17,0,.,.,.,.,.,.,.,.
20241022 _110748,45587.4637551505,1729591668.44554,00:00:00,25,25,25,24.99,25.01,25.01,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.07,5.96,7.88,8.48,8.45,8.58,8.06,0,.,.,.,.,.,.,.,.
20241022 _110749,45587.4637670718,1729591669.47579,00:00:00,25,25.01,25,25,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,8.82,5.72,6.02,8.47,8.64,8.59,8.16,0,.,.,.,.,.,.,.,.
20241022 _110750,45587.4637787963,1729591670.48808,00:00:00,25,25,25.01,25,25,24.99,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.18,7.75,7.7,8.42,7.08,8.8,8.31,0,.,.,.,.,.,.,.,.
20241022 _110751,45587.4637904977,1729591671.49938,00:00:00,24.99,24.99,25.01,25,25,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,9.2,7.98,7.62,8.5,7.02,8.86,8.29,0,.,.,.,.,.,.,.,.
